post_id,source,content,clean_text,sentiment_label,sentiment_id,confidence,post_type,author,author_id,created_at,reaction_count,view_count,comment_count,parent_post_id,title,tags
4b4f34927c6c,voz,"Bài review có tâm quá, tks thím đã chia sẻ cho anh em mở mang tầm mắt.",bài đánh_giá tâm quá thanks_thím chia_sẻ anh_em mở_mang tầm_mắt,Positive,2,0.9959331154823303,comment,Coin_Thu_Gia,240,1736263380,0,,,1,,
07e24004a61a,voz,"Cấu hình này ngon đấy thớt, cứ thế mà quất thôi không phải nghĩ.",cấu_hình ngon đấy người tạo bài cứ thế mà làm luôn thôi không phải nghĩ,Positive,2,0.5548200011253357,comment,Pede_Chua,238,1736264880,0,,,1,,
29faea92f72c,voz,Mình nghĩ nên đợi thêm một thời gian để xem các bài test nhiệt độ độc lập rồi hẵng chốt.,mình nghĩ nên đợi thêm một thời_gian để xem các thử_thách tình_cảm nhiệt_độ độc_lập rồi hẵng quyết_định cuối_cùng,Negative,0,0.98467618227005,comment,Coin_Thu_Gia,295,1737818820,0,,,2,,
dcdb79b601b2,voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",thông_tin mình thấy khá bình_thường hãng nào năm nay cũng đi theo xui_xẻo hướng đó,Negative,0,0.6219799518585205,comment,Khang_Voz,294,1737816420,0,,,2,,
02577822d27f,voz,"Em đang xài đây, pin trâu sóng khỏe, nói chung là ưng cái bụng.",em đang xài đây ghim bài viết trâu sóng_khỏe nói_chung ưng cái bụng,Positive,2,0.9934068918228149,comment,Dev_Cui_Bap,213,1737569880,0,,,3,,
d33b1c09ee5e,voz,"Theo thông số công bố thì chỉ thay đổi ở dung lượng RAM, thiết kế giữ nguyên.",theo thông_số công_bố thì chỉ thay_đổi ở dung_lượng ram thiết_kế giữ nguyên,Neutral,1,0.982572078704834,comment,Apple_Hater,207,1737571620,0,,,3,,
3d69b49dddd6,voz,"Bài review có tâm quá, tks thím đã chia sẻ cho anh em mở mang tầm mắt.",bài đánh_giá tâm quá thanks_thím chia_sẻ anh_em mở_mang tầm_mắt,Positive,2,0.9959331154823303,comment,Lang_Khach,272,1738157580,0,,,4,,
318596c4ad84,voz,"Bọn gian thương dạo này lùa gà ác thật, anh em tỉnh táo kẻo mất tiền oan.",bọn gian_thương dạo lừa_đảo ác thật anh_em tỉnh apple kẻo mất tiền oan,Negative,0,0.9511816501617432,comment,Dev_Cui_Bap,205,1738158600,0,,,4,,
355d69b12862,voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",thông_tin mình thấy khá bình_thường hãng nào năm nay cũng đi theo xui_xẻo hướng đó,Negative,0,0.6219800114631653,comment,Khang_Voz,286,1738332720,0,,,5,,
c179e23e4073,voz,"Lại bài cũ rích, mua đi rồi khóc. Nóng như cái lò gạch chứ ở đó mà mát.",lại bài cũ_rích mua đi rồi khóc nóng_như cái lò gạch chứ ở đó mà mát,Negative,0,0.9856573939323425,comment,Apple_Hater,203,1738332420,0,,,5,,
bb066154df80,voz,"Theo thông số công bố thì chỉ thay đổi ở dung lượng RAM, thiết kế giữ nguyên.",theo thông_số công_bố thì chỉ thay_đổi ở dung_lượng ram thiết_kế giữ nguyên,Neutral,1,0.982572078704834,comment,Apple_Hater,247,1737717420,0,,,6,,
209534dc48cb,voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",thông_tin mình thấy khá bình_thường hãng nào năm nay cũng đi theo xui_xẻo hướng đó,Negative,0,0.6219799518585205,comment,Dev_Cui_Bap,293,1737716220,0,,,6,,
f88636331ca7,voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",thông_tin mình thấy khá bình_thường hãng nào năm nay cũng đi theo xui_xẻo hướng đó,Negative,0,0.6219800114631653,comment,Khang_Voz,224,1737485700,0,,,7,,
607005a6d289,voz,Giá bán dự kiến 20 triệu thì cũng ngang với giá niêm yết của thế hệ trước.,giá bán dự_kiến 20 triệu thì cũng ngang giá niêm_yết thế_hệ trước,Neutral,1,0.9823698997497559,comment,Gian_Thuong_123,247,1737480840,0,,,7,,
c697fa15aba0,voz,Mình nghĩ nên đợi thêm một thời gian để xem các bài test nhiệt độ độc lập rồi hẵng chốt.,mình nghĩ nên đợi thêm một thời_gian để xem các thử_thách tình_cảm nhiệt_độ độc_lập rồi hẵng quyết_định cuối_cùng,Negative,0,0.98467618227005,comment,Khang_Voz,293,1737461400,0,,,8,,
9575969d10dd,voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",thông_tin mình thấy khá bình_thường hãng nào năm nay cũng đi theo xui_xẻo hướng đó,Negative,0,0.6219799518585205,comment,Lang_Khach,287,1737463320,0,,,8,,
15a9badcf50e,voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",thông_tin mình thấy khá bình_thường hãng nào năm nay cũng đi theo xui_xẻo hướng đó,Negative,0,0.6219800114631653,comment,Dev_Cui_Bap,227,1736619180,0,,,9,,
1530b59f7c3c,voz,Nghe văn của mấy anh seeder là biết rồi. Tầm tiền này thì con này tuổi tôm.,nghe văn mấy anh người bình_luận ảo biết rồi tầm tiền thì con tuổi tôm,Negative,0,0.8906089067459106,comment,Coin_Thu_Gia,275,1736623680,0,,,9,,
f46d3a27ed32,voz,"Bọn gian thương dạo này lùa gà ác thật, anh em tỉnh táo kẻo mất tiền oan.",bọn gian_thương dạo lừa_đảo ác thật anh_em tỉnh apple kẻo mất tiền oan,Negative,0,0.9511817693710327,comment,Apple_Hater,243,1738349580,0,,,10,,
