k,coherence_umass,coherence_cv,perplexity
15,-2.693316816166928,0.3764632283278754,-7.288660138820267
16,-2.8122864315201,0.3531228580286207,-7.278756938595063
17,-2.785342692848891,0.3469778981782125,-7.286911919899261
18,-2.8546064211330116,0.3503976203174434,-7.286468158685967
19,-2.7892117477496603,0.3598538352794063,-7.289345707658192
20,-2.822465416789903,0.3438579496760647,-7.281801089098143
21,-2.833202408434271,0.3547041285870619,-7.272440020441361
22,-2.9105195724369466,0.35298922319905524,-7.2818290366644245
23,-2.792010047638833,0.3752879360623192,-7.262390813283964
24,-2.772111882081344,0.3717646809192085,-7.260550105891396
25,-2.7440245932166283,0.3801915536392835,-7.271807686478485
