topic_id,label,coherence_cv,quality
0,viết | ghim | sạc,0.3456,Trung bình
1,tao | mua | mày,0.245,Yếu
2,said | to | thay,0.2845,Yếu
3,said | to | expand,0.4915,Trung bình
4,said | to | expand,0.3126,Trung bình
5,chụp | x8u | video,0.602,Tốt
6,máy | chụp | to,0.4638,Trung bình
7,said | to | hx70f,0.429,Trung bình
8,xe | chạy | hev,0.3849,Trung bình
9,nhân_vật | said | đôi,0.2758,Yếu
10,fan | lỗi | màn_hình_hình,0.3539,Trung bình
11,said | xe | đi,0.389,Trung bình
12,giá | mua | máy,0.3486,Trung bình
13,said | to | đi,0.2152,Yếu
14,xe | đi | phanh,0.2753,Yếu
15,cổng | tb | cắm,0.3872,Trung bình
16,màn_hình | màu | hdr,0.5524,Tốt
17,hx | giá | p106,0.5366,Tốt
18,xe | văn_phòng | kết_hợp,0.6164,Tốt
19,said | to | expand,0.5003,Tốt
20,said | to | tài_khoản,0.3955,Trung bình
21,cài | máy | said,0.344,Trung bình
22,ram | gb | laptop,0.4579,Trung bình
23,attachment | view | said,0.2026,Yếu
24,xe | đi | mua,0.3504,Trung bình
