keyword,window_start,window_end,estimated_count,source
rồi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,41,voz
bài,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,37,voz
giá,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,33,voz
mua,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,28,voz
quá,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,26,voz
mà,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,26,voz
triệu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,26,voz
cấu_hình,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,25,voz
người,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,25,voz
anh_em,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,24,voz
thì,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,24,voz
nghĩ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,23,voz
để,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,23,voz
các,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,22,voz
mình,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,20,voz
đó,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,20,voz
tiền,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,20,voz
đánh_giá,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,19,voz
nhiệt_độ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,19,voz
con,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,19,voz
nên,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,18,voz
thấy,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,18,voz
mới,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,18,voz
không,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,17,voz
cũng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,17,voz
dạo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,17,voz
đi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,16,voz
theo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,16,voz
20,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,16,voz
rẻ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,16,voz
lại,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,15,voz
code,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,15,voz
cái,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,14,voz
thím,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,14,voz
xài,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,13,voz
đợi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
thêm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
một,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
thời_gian,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
xem,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
thử_thách,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
tình_cảm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
độc_lập,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
hẵng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
quyết_định,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
cuối_cùng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
trâu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
như,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,12,voz
ngon,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
đấy,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
tạo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
cứ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
thế,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
làm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
luôn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
thôi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
phải,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,11,voz
em,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
ghim,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
viết,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
bỏ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
gần,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
30,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
iphone,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
hối_hận,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,10,voz
bọn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
gian_thương,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
lừa_đảo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
ác,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
