post_id,source,author,content,created_at,url,topic_id,topic_label,topic_prob
4b4f34927c6c,voz,Coin_Thu_Gia,"Bài review có tâm quá, tks thím đã chia sẻ cho anh em mở mang tầm mắt.",1736263380,,1,đánh_giá | rẻ | như,0.17883273972412025
07e24004a61a,voz,Pede_Chua,"Cấu hình này ngon đấy thớt, cứ thế mà quất thôi không phải nghĩ.",1736264880,,3,cấu_hình | mà | không,0.26873267326412414
29faea92f72c,voz,Coin_Thu_Gia,Mình nghĩ nên đợi thêm một thời gian để xem các bài test nhiệt độ độc lập rồi hẵng chốt.,1737818820,,9,nên | nhiệt_độ | để,0.29333770500276835
dcdb79b601b2,voz,Khang_Voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",1737816420,,0,đó | đi | theo,0.2690582794234326
02577822d27f,voz,Dev_Cui_Bap,"Em đang xài đây, pin trâu sóng khỏe, nói chung là ưng cái bụng.",1737569880,,2,bài | cái | lại,0.24604226565832077
d33b1c09ee5e,voz,Apple_Hater,"Theo thông số công bố thì chỉ thay đổi ở dung lượng RAM, thiết kế giữ nguyên.",1737571620,,8,giá | thì | dự_kiến,0.2315532969715763
3d69b49dddd6,voz,Lang_Khach,"Bài review có tâm quá, tks thím đã chia sẻ cho anh em mở mang tầm mắt.",1738157580,,1,đánh_giá | rẻ | như,0.17883273972412025
318596c4ad84,voz,Dev_Cui_Bap,"Bọn gian thương dạo này lùa gà ác thật, anh em tỉnh táo kẻo mất tiền oan.",1738158600,,5,dạo | anh_em | gian_thương,0.2510189611227313
355d69b12862,voz,Khang_Voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",1738332720,,0,đó | đi | theo,0.2690582794234326
c179e23e4073,voz,Apple_Hater,"Lại bài cũ rích, mua đi rồi khóc. Nóng như cái lò gạch chứ ở đó mà mát.",1738332420,,2,bài | cái | lại,0.23613575277254115
bb066154df80,voz,Apple_Hater,"Theo thông số công bố thì chỉ thay đổi ở dung lượng RAM, thiết kế giữ nguyên.",1737717420,,8,giá | thì | dự_kiến,0.2315532969715763
209534dc48cb,voz,Dev_Cui_Bap,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",1737716220,,0,đó | đi | theo,0.2690582794234326
f88636331ca7,voz,Khang_Voz,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",1737485700,,0,đó | đi | theo,0.2690582794234326
607005a6d289,voz,Gian_Thuong_123,Giá bán dự kiến 20 triệu thì cũng ngang với giá niêm yết của thế hệ trước.,1737480840,,8,giá | thì | dự_kiến,0.22254184002977315
c697fa15aba0,voz,Khang_Voz,Mình nghĩ nên đợi thêm một thời gian để xem các bài test nhiệt độ độc lập rồi hẵng chốt.,1737461400,,9,nên | nhiệt_độ | để,0.29333770500276835
9575969d10dd,voz,Lang_Khach,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",1737463320,,0,đó | đi | theo,0.2690582794234326
15a9badcf50e,voz,Dev_Cui_Bap,"Thông tin này mình thấy khá bình thường, hãng nào năm nay cũng đi theo xu hướng đó.",1736619180,,0,đó | đi | theo,0.2690582794234326
1530b59f7c3c,voz,Coin_Thu_Gia,Nghe văn của mấy anh seeder là biết rồi. Tầm tiền này thì con này tuổi tôm.,1736623680,,4,rồi | tiền | người,0.2599433189142962
f46d3a27ed32,voz,Apple_Hater,"Bọn gian thương dạo này lùa gà ác thật, anh em tỉnh táo kẻo mất tiền oan.",1738349580,,5,dạo | anh_em | gian_thương,0.2510189611227313
efc3f75cc620,voz,Thanh_Nien_Nghiem_Tuc,Giá bán dự kiến 20 triệu thì cũng ngang với giá niêm yết của thế hệ trước.,1738347480,,8,giá | thì | dự_kiến,0.22254184002977315
3fdc48a6eed2,voz,Khang_Voz,Giá bán dự kiến 20 triệu thì cũng ngang với giá niêm yết của thế hệ trước.,1737797760,,8,giá | thì | dự_kiến,0.22254184002977315
86656101c32b,voz,Thanh_Nien_Nghiem_Tuc,"Cấu hình này ngon đấy thớt, cứ thế mà quất thôi không phải nghĩ.",1737797520,,3,cấu_hình | mà | không,0.26873267326412414
6094b1fae675,voz,Sam_Fan_Goc,"Giá này mà có cấu hình như vậy là món hời rồi, chúc mừng bác.",1737026400,,0,đó | đi | theo,0.1594556386153703
54753e5036a6,voz,Khang_Voz,"Tiền đó thím để ăn cho sướng, mua con này về rước cục tức vào người.",1737031740,,7,mua | quá | triệu,0.20289093294981522
3cf1bda74cd5,voz,Apple_Hater,"Bài review có tâm quá, tks thím đã chia sẻ cho anh em mở mang tầm mắt.",1737141180,,1,đánh_giá | rẻ | như,0.17883273972412025
75a501450b85,voz,Thanh_Nien_Nghiem_Tuc,"Lại bài cũ rích, mua đi rồi khóc. Nóng như cái lò gạch chứ ở đó mà mát.",1737140880,,2,bài | cái | lại,0.23613575277254115
bf8a891c924b,voz,Coin_Thu_Gia,Mình nghĩ nên đợi thêm một thời gian để xem các bài test nhiệt độ độc lập rồi hẵng chốt.,1737123660,,9,nên | nhiệt_độ | để,0.29333770500276835
