event_id,detected_at,severity,anomaly_score,trigger_conditions,affected_topics,neg_ratio,mention_velocity,evidence_post_ids
ce_61921dba9e02,2025-11-05 08:00:00,HIGH,0.495096,"[""isolation_forest"", ""global_spike_z5.12""]",[],0.714286,2.0,"[""4959869"", ""4960249""]"
ce_7ca33197a09e,2025-11-06 12:00:00,HIGH,0.31617,"[""global_spike_z2.02"", ""per_post_spike""]",[],0.727273,4.0,"[""4960519""]"
ce_6e15a6d5f5ac,2025-11-06 13:00:00,LOW,0.234159,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4960519""]"
ce_8b188e46b85c,2025-11-10 08:00:00,HIGH,0.308706,"[""global_spike_z3.41"", ""per_post_spike""]",[],0.6,2.0,"[""4962102""]"
ce_56df365b7677,2025-11-10 09:00:00,HIGH,0.324086,"[""global_spike_z2.19"", ""per_post_spike""]",[],0.818182,2.0,"[""4962102""]"
ce_206e1c43e1ae,2025-11-12 03:00:00,LOW,0.241755,"[""global_spike_z2.93"", ""per_post_spike""]",[],0.571429,1.0,"[""4962791""]"
ce_25f78d15019d,2025-11-12 04:00:00,HIGH,0.373492,"[""global_spike_z3.09"", ""per_post_spike""]",[],0.8,1.0,"[""4962791""]"
ce_02ba8749020b,2025-11-12 05:00:00,HIGH,0.430357,"[""global_spike_z3.22"", ""per_post_spike""]",[],0.8125,3.0,"[""4962791""]"
ce_c5745367e1a2,2025-11-13 03:00:00,MEDIUM,0.286656,"[""global_spike_z2.68"", ""per_post_spike""]",[],0.571429,4.0,"[""4963272""]"
ce_7966bf4a9f93,2025-11-13 09:00:00,LOW,0.230488,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4963274""]"
ce_67a2aa60a852,2025-11-16 17:00:00,LOW,0.234587,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4964528""]"
ce_aab1042be4a5,2025-11-16 18:00:00,LOW,0.233924,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4964528""]"
ce_40893f55954a,2025-11-16 22:00:00,LOW,0.23293,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4964528""]"
ce_635a9a5634be,2025-11-17 00:00:00,LOW,0.232289,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4964528""]"
ce_c90a8acc5823,2025-11-17 04:00:00,LOW,0.230938,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4964528""]"
ce_eea751a19923,2025-11-17 05:00:00,LOW,0.230239,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4964528""]"
ce_295e942e86f7,2025-11-19 23:00:00,LOW,0.230938,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4965918""]"
ce_7a24a34dd002,2025-11-20 03:00:00,LOW,0.231184,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4965918""]"
ce_4d5392ca40c7,2025-11-23 20:00:00,LOW,0.231144,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4978563""]"
ce_94bb9eea8e4d,2025-11-23 23:00:00,LOW,0.231246,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4978563""]"
ce_64aa6bcec02c,2025-11-24 01:00:00,LOW,0.230396,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4978563""]"
ce_32e76afcb0cf,2025-11-24 06:00:00,LOW,0.233157,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4978563""]"
ce_9159cb0e8f4b,2025-11-24 08:00:00,LOW,0.232295,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4978563""]"
ce_292045b72f42,2025-11-24 10:00:00,LOW,0.23174,"[""global_spike_z2.04"", ""per_post_spike""]",[],0.6,4.0,"[""4985579"", ""4965918"", ""4970797""]"
ce_f4659ee9eb59,2025-11-26 07:00:00,LOW,0.23188,"[""global_spike_z2.13"", ""per_post_spike""]",[],0.666667,2.0,"[""4986332""]"
ce_57a919ea39f5,2025-11-26 09:00:00,LOW,0.228282,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4986332""]"
ce_1e04e756700d,2025-11-27 00:00:00,LOW,0.226692,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4985963""]"
ce_794fae6eee1b,2025-11-27 02:00:00,LOW,0.213927,"[""global_spike_z2.08"", ""per_post_spike""]",[],0.666667,1.0,"[""4985963""]"
ce_a1811b50343e,2025-11-27 03:00:00,HIGH,0.436608,"[""global_spike_z3.07"", ""per_post_spike""]",[],0.916667,2.0,"[""4985963""]"
ce_edf81eaad828,2025-11-27 07:00:00,LOW,0.2263,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4985963""]"
ce_4872216c4653,2025-11-28 17:00:00,LOW,0.227998,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_f14edc183172,2025-11-28 18:00:00,LOW,0.227309,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_958b68f392e0,2025-11-28 20:00:00,LOW,0.226639,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_182dedb8b714,2025-11-28 21:00:00,LOW,0.226639,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_fa43eb34dd7f,2025-11-28 22:00:00,LOW,0.226639,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_8575d305e202,2025-11-29 00:00:00,HIGH,0.394728,"[""global_spike_z2.81"", ""per_post_spike""]",[],0.833333,3.0,"[""4987378""]"
ce_417cdb1fa979,2025-11-29 03:00:00,LOW,0.227813,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_9c1c0cfe89b4,2025-11-29 05:00:00,LOW,0.227005,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_8e409569463c,2025-11-29 06:00:00,LOW,0.22639,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_b3fc5dc62776,2025-11-29 10:00:00,LOW,0.224235,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_65d7aa2a5338,2025-11-29 11:00:00,LOW,0.224235,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_2bf620e7b354,2025-11-29 12:00:00,LOW,0.224235,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_28080181f99b,2025-11-29 13:00:00,LOW,0.224235,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_ba254bf26cae,2025-11-29 14:00:00,LOW,0.22339,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_32f721f0c5f8,2025-11-29 15:00:00,LOW,0.222835,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_d53a2dfd58d0,2025-11-29 16:00:00,LOW,0.222008,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987378""]"
ce_e2cda0477009,2025-11-30 02:00:00,HIGH,0.363867,"[""global_spike_z2.93"", ""per_post_spike""]",[],0.769231,3.0,"[""4987757""]"
ce_f4e4d2738801,2025-11-30 12:00:00,LOW,0.222689,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987757""]"
ce_9ac62ae70999,2025-11-30 13:00:00,LOW,0.221837,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4987757""]"
ce_2165a0f4eb83,2025-12-02 16:00:00,LOW,0.221814,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4988682""]"
ce_a5b8ddbef63f,2025-12-05 12:00:00,LOW,0.225356,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4989952""]"
ce_99dde175b57f,2025-12-05 14:00:00,LOW,0.224815,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4989952""]"
ce_1a5814e64a78,2025-12-16 01:00:00,HIGH,0.425086,"[""isolation_forest"", ""global_spike_z6.08""]",[],0.565217,2.0,"[""4993912""]"
ce_059414b96516,2025-12-28 07:00:00,LOW,0.23014,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""4999113""]"
ce_b064b3e88c5d,2026-01-13 06:00:00,LOW,0.218038,"[""global_spike_z2.08"", ""per_post_spike""]",[],0.625,2.0,"[""5005079""]"
ce_872e73e1e33e,2026-01-16 06:00:00,HIGH,0.503684,"[""isolation_forest"", ""global_spike_z10.32""]",[],0.622222,4.0,"[""4987757"", ""5005913""]"
ce_8b0fea1c57f8,2026-01-17 03:00:00,HIGH,0.298652,"[""global_spike_z2.36"", ""per_post_spike""]",[],0.692308,3.0,"[""5006647"", ""5004801""]"
ce_08fbb9cbf949,2026-01-17 10:00:00,LOW,0.231639,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5006647""]"
ce_884b8b2c5bd0,2026-01-20 01:00:00,HIGH,0.34216,"[""isolation_forest"", ""per_post_spike""]",[],0.75,6.0,"[""4987757"", ""5006492"", ""5007218""]"
ce_54a92536ceae,2026-01-20 02:00:00,HIGH,0.446581,"[""isolation_forest"", ""global_spike_z2.34"", ""per_post_spike""]",[],0.928571,5.0,"[""5007218"", ""4987757""]"
ce_bed3fc76d43e,2026-01-20 13:00:00,LOW,0.238082,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5007218""]"
ce_2fc788f5c41c,2026-01-21 06:00:00,LOW,0.237723,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5007989""]"
ce_2f4f63b158b3,2026-01-21 09:00:00,LOW,0.236945,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5007989""]"
ce_16deb5293682,2026-01-22 01:00:00,HIGH,0.434611,"[""isolation_forest"", ""global_spike_z3.47"", ""per_post_spike""]",[],0.7,7.0,"[""5008105"", ""5007989""]"
ce_ae7db9a3aad0,2026-01-22 02:00:00,HIGH,0.497108,"[""isolation_forest"", ""global_spike_z5.77"", ""per_post_spike""]",[],0.647059,5.0,"[""5008105""]"
ce_d7b3e1492a26,2026-01-22 03:00:00,HIGH,0.491922,"[""isolation_forest"", ""global_spike_z6.94"", ""per_post_spike""]",[],0.638298,5.0,"[""5008105"", ""5007989""]"
ce_475b393ce829,2026-01-22 06:00:00,HIGH,0.420938,"[""global_spike_z3.92"", ""per_post_spike""]",[],0.69697,4.0,"[""5008105"", ""5008582""]"
ce_02b8baf1ff08,2026-01-22 07:00:00,HIGH,0.329905,"[""global_spike_z3.10"", ""per_post_spike""]",[],0.571429,7.0,"[""5008582"", ""5008105""]"
ce_6ec7964556b9,2026-01-23 22:00:00,LOW,0.244466,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5008749""]"
ce_93fb7ec6bbf6,2026-01-24 11:00:00,LOW,0.244255,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5008749""]"
ce_47c12f606b67,2026-01-25 19:00:00,MEDIUM,0.248383,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5009752""]"
ce_d2d8aec08e13,2026-01-26 08:00:00,MEDIUM,0.251486,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5009752""]"
ce_2a9cf9870669,2026-01-27 03:00:00,MEDIUM,0.26127,"[""isolation_forest"", ""per_post_spike""]",[],1.0,3.0,"[""5009752"", ""5010181"", ""5010231""]"
ce_b21ee137471e,2026-01-27 05:00:00,MEDIUM,0.253012,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5010181""]"
ce_189cc78abb1a,2026-01-27 12:00:00,MEDIUM,0.250976,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5009207"", ""5010181""]"
ce_c7d10cb7d066,2026-01-27 16:00:00,MEDIUM,0.248817,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5010181""]"
ce_13afc993a4f4,2026-01-27 23:00:00,MEDIUM,0.247672,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5010468""]"
ce_de1dc88b7cb0,2026-01-29 23:00:00,MEDIUM,0.247322,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5011658""]"
ce_6add1a87e674,2026-01-30 11:00:00,MEDIUM,0.25195,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5010468"", ""5011658""]"
ce_16ae8df2ade9,2026-02-01 15:00:00,MEDIUM,0.24847,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5012490""]"
ce_d6996d478513,2026-02-04 14:00:00,HIGH,0.431628,"[""global_spike_z3.61"", ""per_post_spike""]",[],0.692308,5.0,"[""5013729"", ""5014092""]"
ce_359a72a6b523,2026-02-04 15:00:00,HIGH,0.312128,"[""global_spike_z2.77"", ""per_post_spike""]",[],0.636364,4.0,"[""5013729"", ""5014092""]"
ce_807b8daf28c4,2026-02-04 18:00:00,LOW,0.244118,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5014092""]"
ce_d84e6f1afa5c,2026-02-06 23:00:00,LOW,0.246837,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5015125""]"
ce_516a55f5a39f,2026-02-07 06:00:00,HIGH,0.292163,"[""isolation_forest"", ""per_post_spike""]",[],0.714286,6.0,"[""5015125"", ""5012490"", ""5013729""]"
ce_5b39b476b151,2026-02-07 16:00:00,HIGH,0.29686,"[""global_spike_z2.19"", ""per_post_spike""]",[],0.666667,5.0,"[""5015269""]"
